,Accuracy MEAN,Accuracy VARIANCE,Precision MEAN,Precision VARIANCE,Recall MEAN,Recall VARIANCE,F1 MEAN,F1 VARIANCE,ROC AUC MEAN,ROC AUC VARIANCE,Average precision MEAN,Average precision VARIANCE,Cross-entropy loss MEAN,Cross-entropy loss VARIANCE
Canny,0.9286,0.0011,0.5476,0.0016,0.5734,0.0011,0.5486,0.0014,0.5734,0.0011,0.0452,0.0009,2.4652,1.2757
HED,0.8872,0.0018,0.5772,0.0008,0.8318,0.0034,0.5991,0.0019,0.9121,0.0019,0.2821,0.0087,0.2317,0.0052
