,Accuracy MEAN,Accuracy VARIANCE,Precision MEAN,Precision VARIANCE,Recall MEAN,Recall VARIANCE,F1 MEAN,F1 VARIANCE,ROC AUC MEAN,ROC AUC VARIANCE,Average precision MEAN,Average precision VARIANCE,Cross-entropy loss MEAN,Cross-entropy loss VARIANCE
Canny,0.9378,0.0012,0.5182,0.0004,0.5825,0.0013,0.5165,0.0009,0.5825,0.0013,0.0162,0.0001,2.15,1.3859
HED,0.8636,0.0029,0.5243,0.0001,0.8677,0.0025,0.5091,0.0008,0.9361,0.0011,0.1223,0.0032,0.2585,0.0083
